"show","week","year","atlas_text","fauci_text"
"Coronavirus_Pandemic_Worldwide_Coverage",19,2020,0,1
"Coronavirus_Pandemic_Worldwide_Coverage",20,2020,0,10
"Coronavirus_Pandemic_Worldwide_Coverage",21,2020,0,0
"Coronavirus_Pandemic_Worldwide_Coverage",22,2020,0,0
"Countdown_to_Election_Day",44,2020,24,32
"Cuomo_Prime_Time",10,2020,0,0
"Cuomo_Prime_Time",13,2020,0,1
"Cuomo_Prime_Time",14,2020,0,1
"Cuomo_Prime_Time",16,2020,0,0
"Cuomo_Prime_Time",17,2020,0,2
"Cuomo_Prime_Time",18,2020,0,0
"Cuomo_Prime_Time",21,2020,0,0
"Cuomo_Prime_Time",22,2020,0,1
"Cuomo_Prime_Time",24,2020,0,5
"Cuomo_Prime_Time",26,2020,0,0
"Cuomo_Prime_Time",27,2020,0,0
"Cuomo_Prime_Time",29,2020,0,9
"Cuomo_Prime_Time",30,2020,0,0
"Cuomo_Prime_Time",31,2020,0,0
"Cuomo_Prime_Time",32,2020,0,0
"Cuomo_Prime_Time",35,2020,1,0
"Cuomo_Prime_Time",36,2020,0,0
"Cuomo_Prime_Time",37,2020,0,0
"Cuomo_Prime_Time",38,2020,0,1
"Cuomo_Prime_Time",39,2020,0,0
"Cuomo_Prime_Time",40,2020,0,1
"Cuomo_Prime_Time",41,2020,0,2
"Cuomo_Prime_Time",43,2020,0,0
"Cuomo_Prime_Time",44,2020,0,0
"Cuomo_Prime_Time",50,2020,0,1
"Debate_Night_in_America",39,2020,0,0
"Debate_Night_in_America",41,2020,4,0
"Debate_Night_in_America",43,2020,0,8
"Early_Start_With_Christine_Romans_and_Laura_Jarrett",10,2020,0,0
"Early_Start_With_Christine_Romans_and_Laura_Jarrett",11,2020,0,0
"Early_Start_With_Christine_Romans_and_Laura_Jarrett",12,2020,0,0
"Early_Start_With_Christine_Romans_and_Laura_Jarrett",19,2020,0,2
"Early_Start_With_Christine_Romans_and_Laura_Jarrett",20,2020,0,5
"Early_Start_With_Christine_Romans_and_Laura_Jarrett",21,2020,0,2
"Early_Start_With_Christine_Romans_and_Laura_Jarrett",22,2020,0,0
"Early_Start_With_Christine_Romans_and_Laura_Jarrett",23,2020,0,0
"Early_Start_With_Christine_Romans_and_Laura_Jarrett",24,2020,0,1
"Early_Start_With_Christine_Romans_and_Laura_Jarrett",25,2020,0,3
"Early_Start_With_Christine_Romans_and_Laura_Jarrett",26,2020,0,4
"Early_Start_With_Christine_Romans_and_Laura_Jarrett",27,2020,0,4
"Early_Start_With_Christine_Romans_and_Laura_Jarrett",28,2020,0,16
"Early_Start_With_Christine_Romans_and_Laura_Jarrett",29,2020,0,4
"Early_Start_With_Christine_Romans_and_Laura_Jarrett",30,2020,0,2
"Early_Start_With_Christine_Romans_and_Laura_Jarrett",31,2020,0,4
"Early_Start_With_Christine_Romans_and_Laura_Jarrett",32,2020,0,3
"Early_Start_With_Christine_Romans_and_Laura_Jarrett",33,2020,0,8
"Early_Start_With_Christine_Romans_and_Laura_Jarrett",34,2020,0,0
"Early_Start_With_Christine_Romans_and_Laura_Jarrett",35,2020,0,0
"Early_Start_With_Christine_Romans_and_Laura_Jarrett",36,2020,0,3
"Early_Start_With_Christine_Romans_and_Laura_Jarrett",37,2020,0,3
"Early_Start_With_Christine_Romans_and_Laura_Jarrett",38,2020,0,2
